ParticipantId,TrialId,Seq,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MiddleGamma,HRV,Level
1,1,1,18744,11845,14740,11271,6810,3220,1623,1109,31.44,0
1,1,2,15913,26469,522,16869,6257,3287,3083,667,30.17,0
1,1,3,4474,104492,2089,10492,16254,3571,3128,1013,15.76,0
1,1,4,59660,36300,2942,4109,10659,3369,1494,1734,24.77,0
1,1,5,24454,81299,1021,2688,3173,2673,1824,900,34.73,0
1,1,6,27562,3623,5117,6154,2990,2100,6376,1051,32.22,0
1,1,7,1800,7232,2164,12531,6944,5317,1928,704,44.81,0
1,1,8,17716,4761,15605,5056,13655,4340,2625,770,44.9,0
1,1,9,15517,10913,6354,7235,5253,4881,2082,1219,37.87,0
1,1,10,24232,30860,337,17669,3198,1442,1859,1895,36.44,0
1,1,11,27365,17149,5729,3669,10054,1634,1555,1225,24.9,0
1,1,12,18573,17099,11099,7199,4251,3315,2767,1344,28.45,0
1,1,13,47513,35300,8303,23404,5087,3913,3956,770,41.95,0
1,1,14,1845,12566,1440,5441,2518,3862,1473,526,21.24,0
1,1,15,9538,14246,1754,15843,4566,2293,2000,1499,40.19,0
1,1,16,29012,8979,7600,12818,2590,3263,1873,1069,30.64,0
1,1,17,2784,14462,4792,1677,4610,2320,2904,887,27.87,0
1,1,18,21245,51792,3756,14057,3543,948,918,1417,29.91,0
1,1,19,20678,80262,1409,4880,4220,2170,1298,1030,30.83,0
1,1,20,14033,44318,2332,13476,6659,1946,1722,1307,29.06,0
1,1,21,9897,2536,11984,4753,3011,4244,2688,2521,21.24,0
1,1,22,6017,19998,27784,16285,6869,3683,1381,848,47.96,0
1,1,23,7125,20202,2398,5577,7077,4870,2452,1534,29.93,0
1,1,24,14971,11526,3291,4985,9032,2324,2757,2430,44.22,0
1,1,25,15597,60727,3766,8309,9052,1978,2846,1084,45.97,0
1,1,26,24898,6473,448,10539,6666,7431,7731,1448,35.84,0
1,1,27,5738,6932,4771,7145,26585,3421,1434,1357,25.52,0
1,1,28,45455,13389,481,3901,4033,1747,2771,634,50.44,0
1,1,29,50951,41189,948,12579,5904,4694,3690,1244,30.63,0
1,1,30,24651,14226,5836,9527,4953,5485,2044,574,42.23,0
1,1,31,4790,16090,6973,486,6524,4502,743,682,24.61,0
1,1,32,23969,8325,1863,9388,10083,7887,1940,1511,34.73,0
1,1,33,31088,13679,3693,2786,3453,5236,1568,1565,36.61,0
1,1,34,13813,15547,11725,13222,4338,7532,1139,1892,30.56,0
1,1,35,14559,45337,2293,1851,11568,6651,2276,2055,25.99,0
1,1,36,31920,14952,4500,14372,3781,4582,2032,989,26.63,0
1,1,37,245893,11526,5408,6313,10289,3578,4308,1850,24.82,0
1,1,38,28837,14006,11326,4620,4856,4120,1540,1007,33.16,0
1,1,39,20485,19077,16996,7267,10169,4690,1978,1036,46.12,0
1,1,40,13001,6771,3484,8787,4787,3535,2696,1523,24.86,0
1,1,41,17735,30307,5215,3271,6635,7009,1520,889,15.12,0
1,1,42,27309,10322,16038,11120,10030,3439,2755,1243,31.11,0
1,1,43,10552,141815,6572,9836,11324,3866,5018,1610,30.81,0
1,1,44,20509,19887,2840,2338,6129,3541,6100,1819,35.14,0
1,1,45,3087,4978,4197,10347,6374,4887,1668,1440,43.8,0
1,1,46,20102,3599,289,12509,6053,11867,7360,1772,33.92,0
1,1,47,95355,69895,7189,3206,7367,4617,4932,1380,25.3,0
1,1,48,133838,11770,5411,4606,10140,6171,2026,1130,28.27,0
1,1,49,5191,11227,3781,3544,5442,4734,3123,1402,22.05,0
1,1,50,48193,22638,8154,3920,4052,4041,3515,2207,32.1,0
1,1,51,26394,28405,817,21069,3305,1604,2707,1258,22.51,0
1,1,52,55460,28439,1663,3070,4360,2709,4718,1614,29.28,0
1,1,53,28661,6685,7384,15003,7564,2546,1260,881,29.17,0
1,1,54,7193,40248,11828,14441,8439,4033,1724,719,26.83,0
1,1,55,22594,7356,14151,8467,12799,6889,2575,788,48.27,0
1,1,56,95294,65878,8104,5220,6971,3915,2712,1883,27.59,0
1,1,57,14033,44318,2332,13476,6659,1946,1722,1307,29.06,0
1,1,58,15405,11755,6338,865,8185,2811,2766,1480,39.73,0
1,1,59,5083,9280,6026,3985,7804,3625,2009,2491,38.35,0
1,1,60,18561,7709,1872,10060,3510,1997,3198,1329,49.12,0
1,1,61,50289,8568,1143,8409,7977,1712,3356,1616,29.62,0
1,1,62,7443,7138,34,6058,9555,4439,2777,949,27.45,0
1,1,63,23540,16276,6704,18466,1076,6234,1998,1649,27.41,0
1,1,64,24338,2741,147,8765,4655,8997,8409,1815,30.37,0
1,1,65,19204,16507,5905,5136,7020,5009,6157,1038,32.39,0
1,1,66,5442,37460,10941,20588,10472,3189,1604,671,28.86,0
1,1,67,208618,24491,8054,6309,10507,3256,3818,1443,25.97,0
1,1,68,28937,37924,2346,7696,4807,3744,10441,719,28.8,0
1,1,69,23119,14239,11874,1764,10813,4986,3724,1215,30.45,0
1,1,70,25147,33944,8650,8428,5617,4197,1361,643,27.48,0
1,1,71,11135,8002,8137,8120,9000,3369,678,1280,37.15,0
1,1,72,14618,5476,694,6197,7418,5611,5373,743,25.24,0
1,1,73,18641,90528,6312,8944,3933,4579,1619,1339,31.9,0
1,1,74,19030,4785,5161,1464,8148,3467,2808,758,32.57,0
1,1,75,37193,7402,2762,10965,3404,775,1709,1208,31.66,0
1,1,76,5665,8505,2515,788,15255,2403,720,1671,27.23,0
1,1,77,3780,29428,9104,1892,7550,1676,1942,1031,34.97,0
