ParticipantId,TrialId,N,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MiddleGamma,HRV,Level
1,1,4,10746,2527,10313,4487,2719,4869,2365,1884,27.03,0
1,1,5,12489,2471,11188,3831,2292,5023,1906,1878,24.94,0
1,1,6,11595,2415,10553,5123,3329,5475,2485,1972,26.44,0
1,1,7,11462,3128,11112,4439,2947,5081,2943,1856,25.49,0
1,1,8,12428,3994,10325,5276,2423,3992,2517,1932,26.31,0
1,1,9,15956,1785,9982,5889,2534,5771,2145,1984,25.56,0
1,1,10,8064,2633,10926,3600,2872,4495,2180,1834,28.42,0
1,1,11,8480,1794,10160,4924,3553,5300,1734,1883,27.08,0
1,1,12,10016,1985,9947,5795,2021,5701,2177,1797,24.42,0
1,1,13,7075,2856,10472,4588,3715,5238,2509,2392,26.27,0
1,1,14,14818,28754,6834,7399,10471,4114,2822,1568,26.53,0
1,1,15,14925,31847,6679,7824,10949,3345,3380,1225,26.92,0
1,1,16,11252,25155,6217,7580,9331,3998,2942,1552,25.79,0
1,1,17,14904,24642,6434,7381,9013,4147,2913,1543,29.51,0
1,1,18,14541,22769,7896,6851,11069,4574,2826,1643,25.58,0
1,1,19,14050,28888,7282,10244,9695,4197,2666,1620,27.48,0
1,1,20,18916,33895,7612,8801,9337,4458,2305,1360,30.78,0
1,1,21,19143,26470,6784,6862,10388,3699,2641,1573,30.48,0
1,1,22,14010,29961,6801,7802,9556,3686,3075,1758,26.5,0
1,1,23,13709,29114,7536,7672,10324,4299,2571,1573,29.52,0
1,1,24,14861,68126,3551,5810,16306,7005,2244,1472,27.71,0
1,1,25,14263,65556,3912,5372,16859,6532,1926,1449,25.34,0
1,1,26,18873,65260,3854,5970,18680,6744,2040,1896,26.49,0
1,1,27,15519,71198,4024,6389,16654,6313,3030,1356,31.24,0
1,1,28,12572,69825,3579,5236,18100,7134,1939,1638,27.32,0
1,1,29,14519,64537,3383,5344,17096,6948,2663,1135,29.28,0
1,1,30,16234,65888,4019,4858,15690,7503,2438,1659,32.71,0
1,1,31,17684,70267,3437,5536,16518,7221,2498,1205,27.58,0
1,1,32,12162,67804,4217,5782,18471,6735,2049,1497,30.08,0
1,1,33,15080,63990,4226,5363,15197,6713,2405,1297,29.55,0
1,1,34,82374,68540,7216,4884,7215,3078,2754,1725,27.81,0
1,1,35,78213,70667,7158,4882,9067,2138,2536,1903,28.16,0
1,1,36,84909,74332,6351,6287,6628,3007,2289,1981,26.91,0
1,1,37,74258,69203,7033,5040,7048,3268,2660,1821,24.05,0
1,1,38,76898,64386,7303,4995,6407,3302,3449,1947,27.92,0
1,1,39,89788,64458,7733,2514,6200,3689,2274,1533,30.08,0
1,1,40,85976,64951,5647,4713,5861,3349,2839,1809,31.01,0
1,1,41,87282,71415,7631,5492,7629,3052,2236,1667,24.48,0
1,1,42,86555,73801,6867,4329,7449,2842,3250,1587,30.65,0
1,1,43,88759,71584,6606,5466,6752,3251,2008,1766,25.47,0
1,1,44,13060,131623,8134,12994,4447,6561,3110,2183,30.75,0
1,1,45,14723,124102,8752,13139,4019,6815,2859,2220,27.8,0
1,1,46,10153,133858,7888,11533,3235,6993,3017,2171,25.98,0
1,1,47,10063,126907,8548,11049,4802,6496,3402,2216,31.13,0
1,1,48,12694,134198,8364,14145,4072,6622,3046,2045,35.12,0
1,1,49,10744,138202,7806,14103,5653,7076,2794,2109,32.61,0
1,1,50,9613,126278,8267,14630,5123,6564,3386,2171,31.19,0
1,1,51,14464,139007,7326,10939,2497,6776,3053,1917,32.23,0
1,1,52,10841,133291,9275,12575,4552,6999,3119,2048,31.38,0
1,1,53,11781,129029,8599,12685,3729,6739,2896,2102,26.62,0
1,1,54,18779,100439,5600,8079,4493,4286,1617,1099,31.08,0
1,1,55,18658,88812,5520,8095,5123,4100,1637,1068,28.8,0
1,1,56,17692,100419,5321,7327,4372,4326,1934,1068,31.37,0
1,1,57,18787,98708,5721,8372,4425,3828,1944,1011,33.39,0
1,1,58,22976,95146,6112,8142,4264,4590,1619,1330,31.76,0
1,1,59,20711,101917,5767,7919,4675,4529,1626,1089,28.42,0
1,1,60,20519,100470,5061,8579,4331,4451,1722,1233,32.14,0
1,1,61,18505,100342,5880,8884,3854,4408,1209,1039,27.38,0
1,1,62,18975,101358,5843,6295,4170,4061,1639,1159,33.16,0
1,1,63,15630,98501,5712,8582,4198,3726,1431,1127,30.49,0
1,1,64,10611,45243,5320,7403,3770,3941,1720,1125,30.82,0
1,1,65,8190,41880,4555,8632,3916,4178,1594,1191,30.63,0
1,1,66,10911,39880,4825,7648,4374,3030,1797,1020,30.1,0
1,1,67,9141,38991,4496,6103,5461,3360,1935,1425,29.48,0
1,1,68,10632,44926,5205,10162,3981,3921,1534,1369,30.62,0
1,1,69,12757,42628,5188,7827,2459,3863,1328,1024,32.69,0
1,1,70,10827,47373,5566,6087,2988,3281,1296,983,31.13,0
1,1,71,12623,44023,5674,6667,4939,3903,1588,1073,33.36,0
1,1,72,13872,45231,4644,6990,3515,3479,1542,1176,28.28,0
1,1,73,12227,52058,6420,8277,3146,3354,1725,1096,31.14,0
1,1,74,23203,3865,7418,4231,6356,2778,2468,1127,31.82,0
1,1,75,18293,2669,7603,4946,7070,3730,2588,1011,29.36,0
1,1,76,24299,5118,7559,4832,5376,2941,2503,972,31.75,0
1,1,77,23703,3943,7697,3434,6279,3405,2284,1230,32.5,0
1,1,78,22400,4759,7548,4430,6874,3128,2036,1116,32.11,0
1,1,79,22722,3015,6825,2837,5571,3113,2334,1091,33.02,0
1,1,80,18582,5103,6671,4962,5225,2409,2654,1297,33.33,0
1,1,81,25635,4223,6182,5180,6309,3351,2244,992,29.76,0
1,1,82,24940,3352,7156,3001,7319,2293,1800,1075,34.72,0
1,1,83,19456,6653,6777,4130,6794,3513,3096,845,29,0
1,1,84,18419,12957,9163,4661,8791,2756,5595,790,31.42,0
1,1,85,24794,11484,10362,3196,9255,2543,5443,657,30.64,0
1,1,86,16342,10289,7115,3884,9333,3246,5639,846,27.99,0
1,1,87,23992,13868,9359,4351,8839,2860,6000,986,28,0
1,1,88,16577,13833,8968,5290,9489,2848,6013,584,32.28,0
1,1,89,19451,11477,7440,4046,8121,2776,5976,976,31.28,0
1,2,1,19530,10547,9393,4326,8879,3529,5921,954,31.88,0
1,2,2,18667,12911,9084,3450,9497,2505,6600,825,34.34,0
1,2,3,16907,14777,9137,4005,9207,2905,5791,769,31.65,0
1,2,4,18954,14810,8376,4623,9498,3455,6022,677,28.86,0
1,2,5,25267,10080,14131,13484,10219,3264,2540,493,31.42,0
1,2,6,23142,10696,14448,13056,10377,2441,2460,437,33.17,0
1,2,7,20929,12489,13564,11632,10817,3590,2206,384,32.12,0
1,2,8,25216,11065,14560,13925,8900,3427,2659,427,31.65,0
1,2,9,24817,7364,14448,15624,11246,4029,2609,455,34.11,0
1,2,10,23859,9059,14719,13016,9848,2747,3172,525,30.36,0
1,2,11,25240,10952,14438,12094,8943,2455,2547,503,31.82,0
1,2,12,21819,11236,14784,13870,10747,3079,2168,376,32.82,0
1,2,13,31870,10708,12894,13852,10956,3047,2606,447,28.37,0
1,2,14,24897,15213,14127,13986,10652,3474,2576,505,27.82,0
1,2,15,21296,9921,1098,2443,7580,1756,1646,894,32.01,0
1,2,16,12428,9710,1374,3398,7515,1521,2070,958,32.42,0
1,2,17,19628,10393,761,2303,8474,1379,1793,982,31.78,0
1,2,18,27241,8074,1234,1843,6457,2483,1919,854,32.99,0
1,2,19,20465,12081,1051,2206,7106,1620,1557,974,31.28,0
1,2,20,23307,10283,1328,2413,7554,2083,1664,901,31.82,0
1,2,21,21429,14130,1106,2156,7701,2120,2020,766,33.16,0
1,2,22,22355,11612,1226,2883,7940,1760,1954,722,31.78,0
1,2,23,19919,12583,934,2806,7323,1834,1910,900,33.36,0
1,2,24,18520,11429,1409,2244,7529,1557,1472,994,31.5,0
1,2,25,10944,7261,8111,4528,5118,1830,1872,710,31.44,0
1,2,26,9292,5310,8267,4347,5094,1896,2105,541,31.4,0
1,2,27,11389,9484,9438,3856,5206,2056,2249,685,29.7,0
1,2,28,12749,10329,8492,4679,4668,1587,1893,857,31.06,0
1,2,29,10316,6939,7956,5888,4593,2132,1726,631,29.91,0
1,2,30,8770,7732,8022,5354,4838,1927,2187,888,30.51,0
1,2,31,13005,5117,8067,4385,5273,1896,2146,650,31.01,0
1,2,32,10604,8707,7873,3057,4022,1457,2046,737,32.04,0
1,2,33,9951,7042,9306,5473,5047,2025,1805,763,34.73,0
1,2,34,7526,7638,7134,6524,5127,1929,1875,519,35.91,0
1,2,35,21187,5874,10057,12360,7438,2700,1138,1014,31.22,0
1,2,36,21057,6142,11023,11613,7006,2699,1096,1233,27.48,0
1,2,37,24318,7132,11731,10700,7808,2791,1059,1177,28.45,0
1,2,38,21178,4113,9289,11112,6103,2847,948,1037,29.68,0
1,2,39,20786,4219,10343,12534,7573,2612,1354,1062,30.66,0
1,2,40,20737,6724,10371,12847,7485,2976,1266,1160,33.36,0
1,2,41,23693,5042,9626,12737,7143,3568,1417,1162,32.52,0
1,2,42,20620,4339,9331,11720,7566,2701,1212,910,31.19,0
1,2,43,20123,7821,9743,13196,7495,2758,1120,1101,32.1,0
1,2,44,20688,4553,10243,12024,7699,2436,996,1024,29.61,0
1,2,45,2903,23190,6915,2933,7902,2382,1847,803,31.2,0
1,2,46,2599,22811,7184,3527,8373,2113,1854,608,30.52,0
1,2,47,3518,24205,6821,2690,6801,2350,1671,694,31.61,0
1,2,48,2964,24652,6624,3005,8643,2454,2414,876,33.39,0
1,2,49,4477,24342,7131,2253,6397,1949,1674,885,30.5,0
1,2,50,1572,28601,6787,3101,6905,3010,1590,1010,30.59,0
1,2,51,2384,24883,6964,3737,6948,1823,1869,826,32.29,0
1,2,52,2398,19010,6713,2948,8502,2051,1644,832,30.9,0
1,2,53,3252,22206,6891,3259,5409,2125,1436,988,29.36,0
1,2,54,2445,22602,6715,2983,8839,1822,2006,979,31.98,0
1,2,55,3452,30758,1230,8265,6842,2895,890,1408,31.42,0
1,2,56,5564,27289,1368,9055,6933,3193,837,1241,30.03,0
1,2,57,2548,32423,936,8174,7516,2935,952,1569,33.68,0
1,2,58,2978,31406,1022,9924,7656,3759,698,1658,33.16,0
1,2,59,4547,35739,1440,6187,7334,2991,1126,1659,33.61,0
1,2,60,2680,30696,1450,7026,7282,2500,989,1318,29.06,0
1,2,61,4180,33712,1239,6283,8359,2870,885,1406,30.93,0
