ParticipantId,QuestionId,Seq,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MiddleGamma,HRV,Exam Difficulty,Cognitive Load Level
1,1,1,5182,7056,1969,7130,3237,2051,3139,1002,36.06,1,2
1,1,2,9285,15684,6344,7228,2522,4228,2133,1893,24.32,1,2
1,1,3,6029,4002,3155,3155,9807,1471,2915,456,36.09,1,1
1,1,4,2264,19617,7349,3268,7310,3427,1309,1040,58.51,1,1
1,1,5,7203,12275,4407,1393,4782,685,1208,1298,10.97,1,1
1,1,6,227,9271,7536,2763,3972,3428,3701,1446,27.39,1,1
1,1,7,5301,57823,255,1668,6908,5748,1665,1015,43.95,1,1
1,1,8,4265,11209,7327,4723,11044,4487,2691,2173,39.15,1,1
1,1,9,5450,16654,7945,5636,12226,5762,1436,1703,16.56,1,1
1,1,10,27923,11297,9492,8656,8453,4024,1480,1349,28.56,1,0
1,1,11,9161,4844,2199,8928,5854,5663,3820,2165,11.25,1,1
1,1,12,12654,28239,6218,3667,9493,4338,5305,1103,18.73,1,2
1,1,13,1099,22560,5886,3925,2701,6754,3118,1098,31.24,1,1
1,1,14,4649,3075,3139,12794,5331,6451,4111,1081,31.36,1,1
1,1,15,3222,8497,3078,4562,14838,1896,2634,723,57.53,1,1
1,1,16,12449,23576,3411,4156,12256,3185,1444,1792,32.61,1,2
1,1,17,5913,12591,4841,4269,9981,1231,5070,2445,49.15,1,1
1,1,18,13112,11199,5075,6448,5808,5046,1724,2247,74.24,1,2
1,1,19,5583,11644,5635,3122,12229,3941,6596,1206,24.4,1,1
1,1,20,1502,12906,9591,11193,10162,5560,3003,1023,39.9,1,1
1,1,21,8380,32865,8979,6849,15389,6387,1809,1244,17.32,1,1
1,1,22,3490,17311,4517,5876,8399,2610,3048,820,25.45,1,2
1,1,23,12901,12488,2388,2715,1664,1480,579,1107,7.43,1,2
1,1,24,3464,6766,2314,3940,3676,4608,2464,1026,38.48,1,1
1,1,25,12543,11608,5418,3343,11572,9479,2571,1273,30.49,1,0
1,1,26,8262,6027,4561,4118,5880,2514,2616,1728,18.57,1,2
1,1,27,5798,39322,5598,7391,5967,2771,5135,1104,39.9,1,1
1,1,28,9171,6910,3768,2932,4999,4943,2636,925,16.59,1,1
1,1,29,13928,20619,2831,6481,6936,1473,2514,882,39.93,1,2
