ParticipantId,QuestionId,Seq,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MiddleGamma,HRV,Difficulty
1,1,1,307610,31302,8491,5372,3366,7514,6981,2278,24.49,1
1,1,2,307815,26982,9272,4226,3263,6851,7783,2432,26.01,1
1,1,3,301238,28357,9560,6246,5607,8447,6783,1592,21.68,1
1,1,4,304998,33820,6197,6672,2120,7604,8033,2328,20.86,1
1,1,5,315163,36069,9066,7500,3477,7897,7105,2630,27.05,1
1,1,6,304810,25052,6646,5996,4817,7842,7369,2416,22.75,1
1,1,7,319681,26862,7086,3854,3365,7980,7038,2667,19.25,1
1,1,8,305351,29928,10971,5421,2743,8143,6459,2073,29.28,1
1,1,9,306141,31567,9077,5409,3633,6198,7680,2381,22.55,1
1,1,10,328650,30388,10800,5146,3136,6484,7142,1864,25.47,1
1,1,11,295705,24494,9337,4461,3775,8656,6871,2468,21.25,1
1,1,12,311762,28782,8241,7153,4724,7632,7053,1608,23.74,1
1,1,13,318997,33087,7897,5342,3088,7106,6582,2127,29.48,1
1,1,14,297402,27967,7117,6261,2956,8828,5976,2460,27,1
1,1,15,317525,36497,8403,5130,2142,6178,6010,2535,20.65,1
1,1,16,296873,23868,9183,4511,3196,6975,7410,1788,23.15,1
1,1,17,298697,35193,11279,5841,3052,7383,8483,2530,17.94,1
1,1,18,321245,31399,10335,4432,3127,8008,7222,2192,24.35,1
1,1,19,301743,32746,8549,6423,3880,7293,6329,1812,24.92,1
1,1,20,321291,27454,8111,8180,2767,6783,8444,1977,18.28,1
1,1,21,322831,42358,7711,7486,3184,7836,7266,2473,25.34,1
1,1,22,304196,28901,9300,4442,3675,7605,6999,2544,22.23,1
1,1,23,288808,31567,7496,4514,3047,6580,5651,2279,21.32,1
1,1,24,303051,25456,8021,4716,3629,8530,6295,2165,28.14,1
1,1,25,321905,33025,9078,8613,2272,6980,6977,2758,22.21,1
1,1,26,311501,32114,7312,7886,2647,7058,6403,1694,24.38,1
1,1,27,4982,22024,7380,5581,7951,5112,1697,1069,54.16,1
1,1,28,4722,28253,5802,5761,8007,5136,1634,938,57.51,1
1,1,29,4468,19902,7083,4384,8655,4511,1484,807,49.9,1
1,1,30,4446,23721,7215,7791,5599,4382,1510,1070,56.38,1
1,1,31,6595,18670,8565,5662,8180,4390,1931,1062,57.44,1
1,1,32,5211,19338,7844,5860,9688,4250,1322,1164,58.38,1
1,1,33,3511,22401,7404,4464,6617,3770,949,827,49.7,1
1,1,34,4567,23858,6952,4818,7990,3508,2436,963,54.93,1
1,1,35,3680,25855,9005,5702,7463,7158,2306,735,53.23,1
1,1,36,4655,20169,7343,6350,6493,4858,2558,864,56.12,1
1,1,37,4039,20648,5584,4867,7914,4176,1027,803,57.93,1
1,1,38,3153,19984,5874,3833,7964,5077,1881,1097,56.1,1
1,1,39,4742,24505,7047,6653,8911,4240,1142,766,52.97,1
1,1,40,3789,21744,9450,6002,9489,6075,2633,1087,51.72,1
1,1,41,5985,20388,6469,5642,8700,4165,1363,1136,48.25,1
1,1,42,7286,25666,8455,6334,6523,5752,1668,1185,51.17,1
1,1,43,6327,23231,6640,5587,10941,5407,2269,945,52.21,1
1,1,44,5012,19385,7262,6590,5877,4242,2308,1264,60.14,1
1,1,45,6259,21101,5934,5626,9207,5073,1908,917,48.4,1
1,1,46,3958,15770,7687,5719,6926,4526,940,1148,56.75,1
1,1,47,7299,22437,7206,7018,8219,4202,1675,1158,53.56,1
1,1,48,4284,26040,6719,8043,7046,4564,971,1064,56.67,1
1,1,49,7162,22137,5523,5823,9421,5048,1019,926,58.51,1
1,1,50,7906,22191,9171,6195,8078,4428,1644,1363,52.71,1
1,1,51,6157,19639,7413,5943,7292,4469,1933,895,53.37,1
1,1,52,7123,22232,8226,5232,10066,4006,2093,1243,56.08,1
1,1,53,54420,96328,35567,18094,4465,7384,2029,1357,54.16,1
1,1,54,46858,86419,37130,15760,4088,8462,1869,1542,60.24,1
1,1,55,54451,91234,38560,18541,4499,6978,2095,1150,59.16,1
1,1,56,63500,98099,36222,18725,5243,5309,2197,1346,53.32,1
1,1,57,57375,95856,34244,18786,4057,8851,2881,1082,57.93,1
1,1,58,55001,92822,32895,21822,3811,8941,1784,1200,57.11,1
1,1,59,54591,97002,37283,14370,3860,7475,2745,1739,51.71,1
1,1,60,50931,91846,34111,19098,4002,7596,2767,1357,57.91,1
1,1,61,56442,104212,38274,19628,3823,8230,1832,1417,51.44,1
1,1,62,52961,97145,34630,18596,3871,9947,2060,1344,56.69,1
1,1,63,56836,95221,31107,19089,4572,9573,1713,1116,53.59,1
1,1,64,59031,95041,37335,19045,3068,7748,1610,1043,55.36,1
1,1,65,54941,101926,34515,18587,3669,7979,1841,1389,54.27,1
1,1,66,51747,89274,33493,13721,4158,5247,2105,1361,59.08,1
1,1,67,57118,90072,33913,17462,5407,8390,1944,1475,53.17,1
1,1,68,47828,95152,34926,17612,5703,8107,2404,1549,56.99,1
1,1,69,53852,102037,40299,19480,6094,8299,2377,1579,52.44,1
1,1,70,53287,90399,34166,19609,3736,6965,2959,1104,56.94,1
1,1,71,52815,96779,31089,19119,4163,8194,1853,1313,56.59,1
1,1,72,60261,105899,41690,17926,6128,7742,2050,1228,50.36,1
